German,A1,Good morning! How are you?,Guten Morgen! Wie geht es Ihnen?,Daily Life
German,A1,My name is Anna.,Mein Name ist Anna.,Daily Life
German,A1,I live in Munich.,Ich wohne in München.,Daily Life
German,A1,Today is Monday.,Heute ist Montag.,Daily Life
German,A1,The weather is nice today.,Das Wetter ist heute schön.,Daily Life
German,A1,I am tired.,Ich bin müde.,Daily Life
German,A1,I wake up at seven o'clock.,Ich wache um sieben Uhr auf.,Daily Life
German,A1,Please close the door.,Bitte schließ die Tür.,Daily Life
German,A1,My apartment is small but cozy.,Meine Wohnung ist klein aber gemütlich.,Daily Life
German,A1,I brush my teeth every morning.,Ich putze jeden Morgen meine Zähne.,Daily Life
German,A1,I go to bed at ten o'clock.,Ich gehe um zehn Uhr ins Bett.,Daily Life
German,A1,It is cold outside.,Es ist kalt draußen.,Daily Life
German,A1,I need a glass of water.,Ich brauche ein Glas Wasser.,Daily Life
German,A1,This is my house.,Das ist mein Haus.,Daily Life
German,A1,I have a dog.,Ich habe einen Hund.,Daily Life
German,A1,See you tomorrow.,Bis morgen.,Daily Life
German,A1,Good night!,Gute Nacht!,Daily Life
German,A1,I like coffee in the morning.,Ich mag Kaffee am Morgen.,Daily Life
German,A1,The window is open.,Das Fenster ist offen.,Daily Life
German,A1,I use my phone every day.,Ich benutze mein Handy jeden Tag.,Daily Life
German,A1,Where is the train station?,Wo ist der Bahnhof?,Travel
German,A1,How much is a ticket to Berlin?,Was kostet eine Fahrkarte nach Berlin?,Travel
German,A1,I need a taxi please.,Ich brauche ein Taxi bitte.,Travel
German,A1,Where is the bus stop?,Wo ist die Bushaltestelle?,Travel
German,A1,Does this train go to Hamburg?,Fährt dieser Zug nach Hamburg?,Travel
German,A1,I have one suitcase.,Ich habe einen Koffer.,Travel
German,A1,Where is the airport?,Wo ist der Flughafen?,Travel
German,A1,My flight leaves at noon.,Mein Flug geht um Mittag.,Travel
German,A1,Is there a hotel nearby?,Gibt es ein Hotel in der Nähe?,Travel
German,A1,I would like a room for two nights.,Ich möchte ein Zimmer für zwei Nächte.,Travel
German,A1,Turn left at the corner.,Biegen Sie an der Ecke links ab.,Travel
German,A1,The museum is straight ahead.,Das Museum ist geradeaus.,Travel
German,A1,I am lost.,Ich habe mich verirrt.,Travel
German,A1,How far is it to the city center?,Wie weit ist es bis ins Stadtzentrum?,Travel
German,A1,Where can I park my car?,Wo kann ich mein Auto parken?,Travel
German,A1,I would like a coffee please.,Ich möchte einen Kaffee bitte.,Food & Shopping
German,A1,The menu please.,Die Speisekarte bitte.,Food & Shopping
German,A1,I am a vegetarian.,Ich bin Vegetarier.,Food & Shopping
German,A1,The bread is very fresh.,Das Brot ist sehr frisch.,Food & Shopping
German,A1,Can I pay by card?,Kann ich mit Karte bezahlen?,Food & Shopping
German,A1,How much does this cost?,Wie viel kostet das?,Food & Shopping
German,A1,I would like to buy apples.,Ich möchte Äpfel kaufen.,Food & Shopping
German,A1,The supermarket is closed on Sunday.,Der Supermarkt ist sonntags geschlossen.,Food & Shopping
German,A1,Do you have milk?,Haben Sie Milch?,Food & Shopping
German,A1,The bill please.,Die Rechnung bitte.,Food & Shopping
German,A1,This is too expensive.,Das ist zu teuer.,Food & Shopping
German,A1,I would like a table for two.,Ich möchte einen Tisch für zwei Personen.,Food & Shopping
German,A1,Is this gluten-free?,Ist das glutenfrei?,Food & Shopping
